mutant_id,mr_id,trial_id,residual
cylinder_flow_meshgraphnet::NS_double_scale,mr_swap_signature,4,0.09615552372213329
cylinder_flow_meshgraphnet::TR_sign_flip,mr_swap_signature,4,-0.096155559907132857
cylinder_flow_meshgraphnet::TR_double_step,mr_swap_signature,4,0.093875342306588672
cylinder_flow_meshgraphnet::PC_swap_xy,mr_swap_signature,4,0.99999999999211608
cylinder_flow_meshgraphnet::PC_zero_vy,mr_swap_signature,4,0.043256321440321037
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_smoothness,4,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_smoothness,4,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_smoothness,4,0.035846573559201227
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_smoothness,4,0.23028763796900387
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_smoothness,4,13100.038514383343
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_smoothness,4,2.9999991750423924
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_smoothness,4,0
cylinder_flow_meshgraphnet::TR_double_step,mr_update_smoothness,4,2.9669422987526231
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_smoothness,4,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_smoothness,4,0.4707218420313426
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_inflow_dirichlet,6,2.2239134311676025
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::TR_double_step,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_inflow_dirichlet,6,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_wall_noslip,6,0.2828427255153656
cylinder_flow_meshgraphnet::MA_drop_edges,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::TR_double_step,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_wall_noslip,6,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_magnitude,6,1
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_magnitude,6,1
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_magnitude,6,0.76393818855285645
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_magnitude,6,0.73134487867355347
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_magnitude,6,114.08937072753906
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_magnitude,6,2
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_magnitude,6,0.99999994039535522
